supplier_product_id;title;manufacturer;category_path;ean;part_number;pack;size_value;size_unit
C-108;Auralight NC40 over-ear noise cancel headphones;Auralight;Audio;1000000000108;AL NC40;;;
C-109;LumaArc curved LED table lamp 8 watt;Luma Arc;Lighting;1000000000115;LA-DL-8W;;;
C-110;Stridewell R2 road runner shoes;Stridewell;Running;1000000000122;SW RUN R2;;;
C-111;Formline 6mm nonslip exercise yoga mat;Formline;Yoga;1000000000139;FL-YM-6;;;
C-112;Clearbrook replacement water filters set of 3;Clearbrook;Water Filters;1000000000146;CB-WF-3;3;1;count
C-113;Vitanook C 500 mg tablets bottle of 60;Vitanook;Supplements;1000000000153;VN-C500-60;60;1;count
C-114;HarborSteel insulated water flask 750 millilitre;Harbor Steel;Bottles;1000000000160;HS-WB-750;1;750;ml
C-115;Linkspan high speed HDMI lead two metre;Linkspan;Cables;1000000000177;LS-HDMI-2;;;
C-202;Paper Trail A5 blank sketch notebook;Paper Trail;Notebooks;;PT-A5-BLANK;1;1;count

